image_path,label,area,convex_hull_area,solidity,perimeter,width,height,longest_path,center_of_mass_x,center_of_mass_y,convex_hull_vertices
dataset_augment/Grape/Grape_healthy/image (14)_augmented_600.JPG,1,37581.0,39806.0,0.9441039039340803,876.9675980806351,227,233,1672,122.19943588515473,135.57175168303132,40
dataset_augment/Grape/Grape_healthy/image (11)_augmented_688.JPG,1,31915.0,34516.5,0.9246302493010589,829.9970356225967,211,222,1498,127.34949083503055,134.83947986840045,28
dataset_augment/Grape/Grape_healthy/image (165)_augmented_679.JPG,1,49863.0,53546.5,0.9312093227381808,1054.05591070652,256,256,2016,130.0434991877745,148.06427611655937,19
dataset_augment/Grape/Grape_healthy/image (345)_augmented_993.JPG,1,25763.0,30079.5,0.8564969497498296,809.168608546257,192,243,1683,125.15324302293988,133.61945425610372,31
dataset_augment/Grape/Grape_healthy/image (71).JPG,1,34221.0,35948.0,0.9519583843329253,815.2274836301804,231,197,1702,126.48622191052277,119.88518745799362,32
dataset_augment/Grape/Grape_healthy/image (100)_augmented_1255.JPG,1,39065.0,43761.0,0.8926898379835927,983.0092282295227,228,248,1676,133.1082298732881,130.30203506975553,27
dataset_augment/Grape/Grape_healthy/image (127).JPG,1,35303.0,37250.0,0.9477315436241611,823.269113779068,215,225,1528,123.85873721780018,129.84658527603887,35
dataset_augment/Grape/Grape_healthy/image (95)_augmented_849.JPG,1,40226.0,42059.5,0.9564069948525303,918.281306385994,245,231,1645,128.27315666484364,133.38032615721175,32
dataset_augment/Grape/Grape_healthy/image (259).JPG,1,32999.0,34303.0,0.9619858321429613,788.3990565538406,200,220,1492,121.8143580108488,130.57495681687323,32
dataset_augment/Grape/Grape_healthy/image (26).JPG,1,36408.0,41430.5,0.8787728847105394,997.2518688440323,238,240,1649,138.33564051856735,138.4444352889475,27
dataset_augment/Grape/Grape_healthy/image (170).JPG,1,35354.0,40813.5,0.8662329866343245,980.3229365348816,228,237,1862,123.03906205804152,132.0829609096566,23
dataset_augment/Grape/Grape_healthy/image (97)_augmented_1288.JPG,1,36868.0,45058.0,0.8182342758222735,1832.4546986818314,233,248,2039,132.45112292502984,131.4533470760551,15
dataset_augment/Grape/Grape_healthy/image (5).JPG,1,27303.0,30842.5,0.8852395233849396,820.3990565538406,181,226,1574,127.4669816503681,136.3445042669304,29
dataset_augment/Grape/Grape_healthy/image (79)_augmented_567.JPG,1,41409.0,44463.5,0.9313032037513916,1004.0975408554077,232,256,1786,119.83906880146829,142.63563476538917,24
dataset_augment/Grape/Grape_healthy/image (191)_augmented_705.JPG,1,36521.0,42216.0,0.8650985408375971,1057.0508583784103,235,245,1740,115.73888995372525,132.64242490621834,19
dataset_augment/Grape/Grape_healthy/image (88)_augmented_684.JPG,1,37428.0,40541.0,0.9232135369132484,893.269113779068,242,222,1764,123.31789034947099,141.28601581703538,21
dataset_augment/Grape/Grape_healthy/image (273)_augmented_1269.JPG,1,42557.0,47479.0,0.8963331156932539,1015.4528793096542,237,256,1786,116.63601757642691,140.28897713654627,16
dataset_augment/Grape/Grape_healthy/image (189).JPG,1,30689.0,33923.5,0.9046531165711085,902.9675980806351,198,243,1668,121.63996871843331,139.0404705268989,25
dataset_augment/Grape/Grape_healthy/image (30).JPG,1,33509.0,36770.0,0.9113135708457982,896.5828220844269,232,208,1614,128.39314810946314,128.7703005162792,25
dataset_augment/Grape/Grape_healthy/image (137)_augmented_661.JPG,1,35713.0,40125.0,0.8900436137071651,1005.1097334623337,218,230,1739,127.67423627250581,126.45126424551283,26
dataset_augment/Grape/Grape_healthy/image (225)_augmented_840.JPG,1,35078.0,38056.0,0.9217468993062855,844.9259679317474,232,219,1589,124.6911454472889,125.75640002280632,26
dataset_augment/Grape/Grape_healthy/image (319)_augmented_623.JPG,1,39466.0,42323.5,0.9324843172232921,952.8670928478241,231,244,1706,126.81280089190696,131.92981300359804,33
dataset_augment/Grape/Grape_healthy/image (103)_augmented_1323.JPG,1,39728.0,44370.0,0.8953797610998422,986.5828220844269,252,245,1809,144.4233789770439,124.29336991542489,27
dataset_augment/Grape/Grape_healthy/image (370)_augmented_893.JPG,1,21129.0,22995.5,0.918831945380618,716.558436870575,144,216,1528,120.69738274409579,134.99834350892138,25
dataset_augment/Grape/Grape_healthy/image (166).JPG,1,30634.0,34184.5,0.896137138176659,889.6366448402405,209,227,1550,127.30988444212313,134.94427760005223,25
dataset_augment/Grape/Grape_healthy/image (218).JPG,1,36095.0,39455.0,0.9148396907869725,916.180801153183,226,218,1504,135.19944590663528,131.6533037816872,40
dataset_augment/Grape/Grape_healthy/image (239)_augmented_442.JPG,1,30813.0,33665.0,0.9152829347987524,831.8965303897858,205,223,1516,121.09233115892643,127.4928763833447,31
dataset_augment/Grape/Grape_healthy/image (196)_augmented_1049.JPG,1,32108.0,34461.0,0.9317199152665332,867.5289993286133,246,199,1714,127.20100909430671,124.35878908683195,21
dataset_augment/Grape/Grape_healthy/image (67).JPG,1,39204.0,43101.0,0.9095844643975778,919.6122596263885,238,239,1706,142.96604938271605,136.06948270584635,22
dataset_augment/Grape/Grape_healthy/image (131).JPG,1,33375.0,37830.5,0.8822246599965636,929.4528793096542,218,234,1789,132.26468913857678,130.39814232209739,30
dataset_augment/Grape/Grape_healthy/image (88).JPG,1,36921.0,40326.5,0.915551808364227,921.4528793096542,219,239,1723,115.31681157065086,134.97567779854285,30
dataset_augment/Grape/Grape_healthy/image (360)_augmented_1048.JPG,1,36233.0,40211.0,0.9010718460122852,945.3107439279556,244,236,1728,122.97739629619407,120.43573537935032,20
dataset_augment/Grape/Grape_healthy/image (230)_augmented_1034.JPG,1,29116.0,31525.0,0.9235844567803331,817.168608546257,192,225,1540,129.95641571644455,133.36395796125842,31
dataset_augment/Grape/Grape_healthy/image (352)_augmented_1046.JPG,1,36839.0,44789.5,0.8224918786769221,1196.3902900218964,237,251,1981,116.9132169711447,135.71492168625642,21
dataset_augment/Grape/Grape_healthy/image (326)_augmented_832.JPG,1,31637.0,37239.0,0.8495663148849325,983.5950146913528,220,231,1622,124.58829851123684,141.02481271928437,24
dataset_augment/Grape/Grape_healthy/image (146).JPG,1,37104.0,41008.5,0.9047880317495154,1044.6072072982788,227,235,1773,124.45739003880983,128.24062095730918,29
dataset_augment/Grape/Grape_healthy/image (10).JPG,1,33810.0,36775.0,0.9193745751189667,880.180801153183,202,235,1688,122.11555752735877,132.24282756580894,32
dataset_augment/Grape/Grape_healthy/image (280).JPG,1,36917.0,41010.0,0.9001950743721043,974.1391710042953,231,250,1783,127.66830999268629,130.74464338922448,27
dataset_augment/Grape/Grape_healthy/image (242)_augmented_580.JPG,1,13821.0,15073.5,0.9169071549407901,553.546244263649,161,134,1088,128.08667969032632,119.95796252080167,26
dataset_augment/Grape/Grape_healthy/image (222)_augmented_1041.JPG,1,22747.0,26433.0,0.8605530965081527,799.7127648591995,186,196,1386,146.77619026684837,132.73455840330593,20
dataset_augment/Grape/Grape_healthy/image (290)_augmented_1141.JPG,1,35189.0,39287.5,0.8956792873051225,1023.1513636112213,230,224,1601,120.57355991929296,127.34723919406633,32
dataset_augment/Grape/Grape_healthy/image (111).JPG,1,40385.0,45497.5,0.8876311885268421,962.8670928478241,251,223,1814,126.84469481243036,141.98355825182617,27
dataset_augment/Grape/Grape_healthy/image (10)_augmented_479.JPG,1,36226.0,39262.5,0.9226615727475327,907.6955199241638,204,245,1753,122.0896317561972,126.11389609672611,33
dataset_augment/Grape/Grape_healthy/image (182)_augmented_1170.JPG,1,35357.0,38210.0,0.9253336822821251,883.5361396074295,223,234,1531,132.42039765817236,127.05537800152727,28
dataset_augment/Grape/Grape_healthy/image (261)_augmented_587.JPG,1,21742.0,23521.0,0.9243654606521832,689.5706294775009,170,176,1262,124.7401343022721,137.72426639683562,35
dataset_augment/Grape/Grape_healthy/image (47).JPG,1,36851.0,41007.5,0.8986404925928184,950.6833273172379,242,238,1685,119.75634311144881,134.08957694499472,20
dataset_augment/Grape/Grape_healthy/image (331)_augmented_522.JPG,1,51614.0,56373.0,0.9155801536196406,1113.0264731645584,256,256,2065,113.92496221955284,128.2572557833146,19
dataset_augment/Grape/Grape_healthy/image (77)_augmented_1029.JPG,1,16150.0,17744.5,0.9101411705035363,597.4873691797256,162,152,1161,139.07572755417957,124.00792569659443,27
dataset_augment/Grape/Grape_healthy/image (392).JPG,1,32853.0,36986.5,0.8882430075838481,1022.5655771493912,227,226,1751,124.53462393084345,128.08991568502117,26
dataset_augment/Grape/Grape_healthy/image (92)_augmented_1273.JPG,1,22836.0,25173.5,0.9071444177408783,728.6416971683502,158,220,1522,111.94767034506918,124.63360483447188,35
dataset_augment/Grape/Grape_healthy/image (238).JPG,1,34936.0,38374.5,0.9103962266609337,924.3229365348816,237,217,1658,133.12039157316235,133.66306961300663,30
dataset_augment/Grape/Grape_healthy/image (262)_augmented_805.JPG,1,29405.0,34117.5,0.8618744046310545,859.9554054737091,192,238,1712,131.00452304029926,132.53201836422377,19
dataset_augment/Grape/Grape_healthy/image (115)_augmented_497.JPG,1,47752.0,51216.5,0.9323557837806176,1134.8843377828598,243,256,1824,135.83858267716536,143.40454850058637,17
dataset_augment/Grape/Grape_healthy/image (348)_augmented_991.JPG,1,41417.0,50227.0,0.8245963326497701,1197.0092282295227,256,256,1892,138.28063355626915,147.45355771784534,16
dataset_augment/Grape/Grape_healthy/image (61)_augmented_1313.JPG,1,35017.0,37480.5,0.9342724883606142,879.1269783973694,222,237,1635,128.8731187708827,129.0664248793443,26
dataset_augment/Grape/Grape_healthy/image (107).JPG,1,33212.0,37272.0,0.8910710452886885,923.6955199241638,210,237,1711,131.1506985426954,134.97154642900156,30
dataset_augment/Grape/Grape_healthy/image (412).JPG,1,39431.0,42352.0,0.9310304117869286,956.4234417676926,235,252,1730,130.1633993558368,134.23103649412897,27
dataset_augment/Grape/Grape_healthy/image (51).JPG,1,34289.0,38424.5,0.8923733555413863,873.3940042257309,237,224,1552,126.20948409110794,133.0805506138995,28
dataset_augment/Grape/Grape_healthy/image (387)_augmented_1005.JPG,1,31702.0,36329.0,0.8726361859671337,944.3818116188049,218,233,1601,123.00059933127247,132.65049523689356,25
dataset_augment/Grape/Grape_healthy/image (32)_augmented_666.JPG,1,31722.0,34943.0,0.9078213089889248,853.5533845424652,230,219,1649,127.25985120736398,138.93348464787843,27
dataset_augment/Grape/Grape_healthy/image (343)_augmented_1179.JPG,1,35356.0,38172.5,0.9262165171262035,858.7838325500488,212,229,1646,142.90618282611155,127.65445751781876,27
dataset_augment/Grape/Grape_healthy/image (388)_augmented_868.JPG,1,31977.0,35356.0,0.904429234076253,895.4528793096542,202,244,1653,151.17043500015637,130.97567001282172,30
dataset_augment/Grape/Grape_healthy/image (384).JPG,1,35403.0,46090.0,0.7681275764807984,1554.328965306282,256,246,1923,134.12388780611812,138.5425246448041,18
dataset_augment/Grape/Grape_healthy/image (8)_augmented_913.JPG,1,45008.0,48590.5,0.9262715962996882,999.269113779068,256,236,1949,132.65563899751155,133.70698542481335,23
dataset_augment/Grape/Grape_healthy/image (150).JPG,1,35293.0,40693.5,0.8672883875803261,1043.87928545475,241,231,1669,136.72529963448844,123.72127617374551,24
dataset_augment/Grape/Grape_healthy/image (183)_augmented_1159.JPG,1,35938.0,39112.5,0.9188366890380313,899.3523740768433,221,225,1712,133.62657910846457,123.62785909065613,37
dataset_augment/Grape/Grape_healthy/image (287)_augmented_1130.JPG,1,21970.0,23220.0,0.946167097329888,656.2152910232544,160,188,1357,126.72157487482932,113.28698224852072,32
dataset_augment/Grape/Grape_healthy/image (86)_augmented_494.JPG,1,33594.0,36921.0,0.9098886812383197,1009.7543950080872,218,227,1542,140.0918021075192,127.24822885038995,24
dataset_augment/Grape/Grape_healthy/image (246)_augmented_1116.JPG,1,30668.0,34210.5,0.8964499203460926,850.180801153183,215,244,1661,133.23718533976785,136.48623972870746,24
dataset_augment/Grape/Grape_healthy/image (296).JPG,1,36385.0,41306.5,0.8808541028651665,938.3645666837692,237,240,1732,134.37042737391783,141.02885804589803,23
dataset_augment/Grape/Grape_healthy/image (279).JPG,1,29519.0,32021.0,0.9218637768964117,837.5289993286133,187,222,1593,118.64819268945425,138.57820386869474,24
dataset_augment/Grape/Grape_healthy/image (376)_augmented_613.JPG,1,44221.0,49533.0,0.8927583631114611,1021.2274836301804,246,256,2085,105.1833291874901,132.96223513715202,14
dataset_augment/Grape/Grape_healthy/image (41)_augmented_1168.JPG,1,46625.0,56033.0,0.8320989416950726,1789.4629839658737,238,256,2058,109.58457908847186,120.3028418230563,8
dataset_augment/Grape/Grape_healthy/image (13)_augmented_1369.JPG,1,34503.0,39202.5,0.8801224411708437,930.7249574661255,229,219,1708,132.99252238935745,133.98214648001624,26
dataset_augment/Grape/Grape_healthy/image (155)_augmented_1084.JPG,1,36710.0,41603.0,0.8823882893060596,955.4528793096542,224,246,1792,125.76273494960502,133.39065649686734,31
dataset_augment/Grape/Grape_healthy/image (92).JPG,1,37640.0,41341.0,0.910476282624997,920.080295920372,240,237,1674,126.02651434643995,125.68323591923486,32
dataset_augment/Grape/Grape_healthy/image (333)_augmented_449.JPG,1,15720.0,17170.0,0.9155503785672685,585.1025931835175,160,143,1110,111.91965648854962,128.39013994910943,24
dataset_augment/Grape/Grape_healthy/image (149)_augmented_475.JPG,1,32935.0,37956.5,0.867703818845257,957.168608546257,229,256,1763,129.26622134507363,138.8280856231972,20
dataset_augment/Grape/Grape_healthy/image (306)_augmented_1043.JPG,1,37488.0,40630.0,0.9226679793256215,879.2518688440323,235,236,1787,133.78617157490396,126.32119611609048,33
dataset_augment/Grape/Grape_healthy/image (202).JPG,1,34960.0,39585.0,0.8831628141972969,972.8254626989365,204,238,1750,125.06084096109839,133.4345823798627,29
dataset_augment/Grape/Grape_healthy/image (40)_augmented_898.JPG,1,30043.0,33920.5,0.8856885953921669,924.180801153183,208,229,1638,137.9307326165829,131.65156608860633,23
dataset_augment/Grape/Grape_healthy/image (104)_augmented_1053.JPG,1,34417.0,41534.5,0.8286364347710939,1064.790972828865,229,243,1740,133.90490164744168,136.43859139378796,21
dataset_augment/Grape/Grape_healthy/image (210)_augmented_957.JPG,1,28915.0,32832.0,0.8806956627680312,912.281306385994,201,236,1669,118.12066401521702,138.99325609545218,28
dataset_augment/Grape/Grape_healthy/image (280)_augmented_923.JPG,1,37017.0,41195.5,0.8985690184607542,1003.068103313446,232,251,1721,127.5638490423319,130.66453251208904,28
dataset_augment/Grape/Grape_healthy/image (97)_augmented_854.JPG,1,33322.0,38443.0,0.8667897926800718,949.4701242446899,212,236,1727,125.26745093331733,125.55164756017045,26
dataset_augment/Grape/Grape_healthy/image (376)_augmented_821.JPG,1,44112.0,49667.0,0.8881551130529325,1043.8549002408981,247,256,2086,105.20586235038085,133.15573993471165,18
dataset_augment/Grape/Grape_healthy/image (347).JPG,1,36643.0,41297.5,0.8872934196985289,989.8376553058624,228,243,1745,130.24880604753977,136.71312392544277,26
dataset_augment/Grape/Grape_healthy/image (193).JPG,1,35832.0,38916.5,0.9207405599167449,933.3523740768433,223,241,1645,128.78231748158072,132.0419457468185,30
dataset_augment/Grape/Grape_healthy/image (9).JPG,1,36895.0,41121.5,0.897219216225089,1080.1635562181473,237,246,1709,130.28581108551293,127.97956362650766,25
dataset_augment/Grape/Grape_healthy/image (413)_augmented_1215.JPG,1,40980.0,43172.0,0.9492263504123043,880.7665876150131,242,244,1696,134.9439970717423,131.4495363591996,30
dataset_augment/Grape/Grape_healthy/image (336)_augmented_826.JPG,1,37510.0,42798.5,0.8764325852541561,984.5655771493912,232,256,1786,132.29082911223674,144.82391362303386,21
dataset_augment/Grape/Grape_healthy/image (255).JPG,1,34699.0,38331.5,0.9052345981764345,937.192993760109,240,227,1555,135.9500273783106,143.2750223349376,32
dataset_augment/Grape/Grape_healthy/image (175)_augmented_900.JPG,1,35460.0,38328.0,0.9251721978710081,877.8132700920105,223,225,1590,128.44672870840384,137.58009024252678,28
dataset_augment/Grape/Grape_healthy/image (310).JPG,1,38837.0,44925.0,0.8644852531997774,1028.867092847824,237,244,1719,119.89674794654582,134.32456162937405,19
dataset_augment/Grape/Grape_healthy/image (363)_augmented_1129.JPG,1,32217.0,34967.0,0.9213544198816026,834.7665876150131,221,219,1519,135.35813390446037,134.6487879070056,32
dataset_augment/Grape/Grape_healthy/image (185).JPG,1,28163.0,30556.5,0.9216696938458265,773.8965303897858,202,201,1361,124.18726698150056,132.03983950573448,37
dataset_augment/Grape/Grape_healthy/image (379)_augmented_585.JPG,1,42009.0,44603.5,0.9418319190198079,941.168608546257,233,246,1733,130.0033088147778,128.12387821657265,31
dataset_augment/Grape/Grape_healthy/image (85)_augmented_491.JPG,1,30546.0,34820.0,0.8772544514646755,864.7249574661255,216,229,1652,105.89933215478295,139.610849211026,26
dataset_augment/Grape/Grape_healthy/image (272)_augmented_1109.JPG,1,33248.0,35517.0,0.936115099811358,850.9848430156708,214,218,1531,129.97356231953802,123.26046679499518,33
dataset_augment/Grape/Grape_healthy/image (243).JPG,1,36139.0,37934.5,0.9526684152947844,824.3818116188049,220,229,1618,130.72243282879992,122.7095658429951,32
dataset_augment/Grape/Grape_healthy/image (116)_augmented_647.JPG,1,36699.0,39878.0,0.9202818596719996,935.068103313446,230,221,1770,125.17335622224039,134.14351889697267,39
dataset_augment/Grape/Grape_healthy/image (285)_augmented_1330.JPG,1,35851.0,38846.5,0.9228888059413332,953.3523740768433,212,228,1574,129.61217260327467,128.55423837549858,28
dataset_augment/Grape/Grape_healthy/image (60)_augmented_469.JPG,1,23156.0,25553.5,0.9061772359950692,728.7838325500488,192,169,1374,139.1083952323372,128.40274658835722,33
dataset_augment/Grape/Grape_healthy/image (137)_augmented_676.JPG,1,19588.0,21702.5,0.9025688284759821,685.0853482484818,164,177,1281,119.02940575862773,142.2230447212579,26
dataset_augment/Grape/Grape_healthy/image (358)_augmented_563.JPG,1,22856.0,25832.5,0.8847769282880092,714.457931637764,193,178,1306,126.48158032901645,115.98477423871194,24
dataset_augment/Grape/Grape_healthy/image (156)_augmented_1125.JPG,1,36720.0,40585.5,0.9047566249029826,943.9970356225967,235,237,1963,125.82203159041394,154.61813725490197,25
dataset_augment/Grape/Grape_healthy/image (37)_augmented_1263.JPG,1,29070.0,32115.5,0.9051704005853871,858.6244522333145,207,214,1564,115.9233230134159,122.28489852081184,26
dataset_augment/Grape/Grape_healthy/image (306).JPG,1,37372.0,40525.5,0.9221847972264376,896.3229365348816,235,236,1787,133.68666381247994,126.45429733490313,33
dataset_augment/Grape/Grape_healthy/image (257)_augmented_680.JPG,1,42736.0,44967.5,0.9503752710290766,937.1269783973694,214,250,1855,145.35539123923624,139.72795769374767,29
dataset_augment/Grape/Grape_healthy/image (193)_augmented_1104.JPG,1,36454.0,39434.5,0.924418973234097,947.4945094585419,228,236,1694,127.12133099248368,132.00907993635815,34
dataset_augment/Grape/Grape_healthy/image (379)_augmented_1117.JPG,1,49717.0,53006.5,0.9379415732032864,1146.936072587967,256,250,2111,135.1780075225778,144.40251825331376,18
dataset_augment/Grape/Grape_healthy/image (226)_augmented_1279.JPG,1,32156.0,37745.5,0.851916122451683,1001.2518688440323,232,231,1550,132.07721731558652,128.99079487498446,24
dataset_augment/Grape/Grape_healthy/image (84).JPG,1,30465.0,34227.0,0.8900867735997896,839.8965303897858,217,226,1650,130.24946660101756,138.11659281142295,25
dataset_augment/Grape/Grape_healthy/image (297)_augmented_745.JPG,1,37248.0,42357.5,0.8793720120403706,941.168608546257,242,244,1672,123.62717461340206,138.99817439862542,23
dataset_augment/Grape/Grape_healthy/image (216)_augmented_500.JPG,1,20865.0,22431.0,0.9301859034372074,691.5289993286133,161,197,1392,112.98926431823628,146.9056793673616,27
dataset_augment/Grape/Grape_healthy/image (214).JPG,1,32338.0,35910.0,0.9005291005291005,849.5706294775009,214,207,1611,134.6895911930237,129.73863566083244,23
dataset_augment/Grape/Grape_healthy/image (351).JPG,1,35477.0,41303.5,0.8589344728654956,959.3940042257309,222,238,1928,123.68292132931195,140.9631028553711,23
dataset_augment/Grape/Grape_healthy/image (420)_augmented_829.JPG,1,21537.0,23414.5,0.9198146447714023,699.3279888629913,173,173,1279,147.34456981009424,115.13780935134884,25
dataset_augment/Grape/Grape_healthy/image (215).JPG,1,35556.0,38451.5,0.9246973460073079,880.5828220844269,214,226,1598,131.02010912363596,127.22184722690966,29
dataset_augment/Grape/Grape_healthy/image (391)_augmented_551.JPG,1,41508.0,44869.5,0.9250827399458429,1011.8376553058624,223,256,1824,126.39353859496964,133.45651440686132,25
dataset_augment/Grape/Grape_healthy/image (264)_augmented_1155.JPG,1,17455.0,19705.0,0.8858157827962446,614.6173119544983,138,202,1392,137.18378688054997,153.25425379547409,25
